GSS Product Name,GSS Product ID,Brand,Model,Current Everyday Price,New Everyday Price,Variance In Price,% Variance,,Current Sale Price,New Sale Price,Variance In Price,% Variance
Dragon Baile Polarised Matte Dark Tortoiseshell Brown (35069-245),911,,35069-245,$194.95,$201.00,$6.05,3.1%,,$0.00,#REF!,#REF!,#REF!
Arnette Bushing Polarised Matte Black Grey (4244 1/81),1110,Arnette,4244-181,$129.95,$121.96,-$7.99,-6.1%,,$0.00,#REF!,#REF!,#REF!
Arnette Bushing Matte Black Blue Mirror (4244 1/55),1799,Arnette,4244  1/55,$99.95,$95.96,-$3.99,-4.0%,,$0.00,#REF!,#REF!,#REF!
Oakley Sliver VR46 Polished Black Fire Valentino Rossi (9262-27),1567,Oakley,9262-27,$175.50,$197.00,$21.50,12.3%,,$0.00,#REF!,#REF!,#REF!
Oakley Square Wire Polarised Tungsten Prizm Tungsten Iridium (4075-14),10291,Oakley,4075-14,$265.50,$249.48,-$16.02,-6.0%,,$0.00,#REF!,#REF!,#REF!
Oakley Square Wire Polarised Matte Black Black Iridium (4075-05),1026,Oakley,4075-05,$256.50,$198.19,-$58.31,-22.7%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 2140 Original Wayfarer Black Green (2140-901),661,Ray Ban,2140-901,$180.00,$155.63,-$24.37,-13.5%,,$0.00,#REF!,#REF!,#REF!
Ray Ban 2140 Original Wayfarer Gloss Tortoiseshell Crystal Green G15 Glass 50 (2140 902),663,Ray Ban,2140 902,$184.50,$179.50,-$5.00,-2.7%,,$0.00,#REF!,#REF!,#REF!
Le Specs Swizzle Matte Tort Gold (1602192),399,Le Specs,1602192,$52.95,$46.46,-$6.49,-12.3%,,$0.00,#REF!,#REF!,#REF!
Le Specs Swizzle Syrup Tort Grey (1902131),10224,,1902131,$54.00,$46.46,-$7.54,-14.0%,,$0.00,#REF!,#REF!,#REF!
Le Specs Swizzle Matte Black Grey Gradient (1502061),373,,1502061,$52.95,$46.46,-$6.49,-12.3%,,$0.00,#REF!,#REF!,#REF!
